customer_id,txn_date,txn_type,txn_amount
111,2020-01-28,deposit,101
372,2020-01-02,deposit,920
307,2020-01-14,deposit,363
363,2020-01-06,deposit,622
22,2020-01-19,deposit,794
171,2020-01-17,deposit,471
19,2020-01-17,deposit,47
289,2020-01-28,deposit,838
419,2020-01-11,deposit,711
154,2020-01-15,deposit,120
156,2020-01-24,deposit,82
75,2020-01-22,deposit,234
191,2020-01-16,deposit,769
71,2020-01-14,deposit,6128
263,2020-01-16,deposit,312
462,2020-01-26,deposit,614
405,2020-01-04,deposit,413
37,2020-01-29,deposit,946
342,2020-01-25,deposit,347
371,2020-01-21,deposit,528
173,2020-01-14,deposit,720
9,2020-01-21,deposit,669
302,2020-01-27,deposit,143
403,2020-01-13,deposit,232
110,2020-01-01,deposit,888
492,2020-01-05,deposit,812
477,2020-01-04,deposit,6101
337,2020-01-12,deposit,581
345,2020-01-01,deposit,555
131,2020-01-10,deposit,932
58,2020-01-11,deposit,726
99,2020-01-08,deposit,160
488,2020-01-08,deposit,1304
286,2020-01-02,deposit,177
240,2020-01-10,deposit,872
326,2020-01-12,deposit,478
359,2020-01-09,deposit,10
72,2020-01-20,deposit,796
3,2020-01-27,deposit,144
178,2020-01-23,deposit,76
146,2020-01-05,deposit,657
385,2020-01-15,deposit,585
193,2020-01-12,deposit,689
279,2020-01-13,deposit,98
272,2020-01-11,deposit,706
87,2020-01-13,deposit,777
244,2020-01-27,deposit,728
23,2020-01-21,deposit,334
278,2020-01-26,deposit,682
484,2020-01-28,deposit,871
368,2020-01-17,deposit,100
158,2020-01-18,deposit,642
148,2020-01-12,deposit,88
118,2020-01-03,deposit,683
221,2020-01-06,deposit,147
126,2020-01-21,deposit,120
245,2020-01-30,deposit,76
180,2020-01-09,deposit,6670
258,2020-01-25,deposit,590
157,2020-01-06,deposit,721
417,2020-01-04,deposit,213
184,2020-01-27,deposit,472
282,2020-01-24,deposit,74
415,2020-01-07,deposit,152
195,2020-01-19,deposit,489
298,2020-01-16,deposit,36
411,2020-01-27,deposit,551
66,2020-01-16,deposit,917
25,2020-01-28,deposit,174
323,2020-01-21,deposit,1603
270,2020-01-16,deposit,294
319,2020-01-06,deposit,83
226,2020-01-11,deposit,854
468,2020-01-25,deposit,939
439,2020-01-26,deposit,430
202,2020-01-06,deposit,446
250,2020-01-25,deposit,625
447,2020-01-03,deposit,1188
271,2020-01-08,deposit,318
353,2020-01-01,deposit,57
409,2020-01-22,deposit,155
432,2020-01-26,deposit,637
40,2020-01-21,deposit,857
268,2020-01-11,deposit,744
85,2020-01-11,deposit,467
401,2020-01-03,deposit,956
470,2020-01-08,deposit,6942
242,2020-01-20,deposit,1256
295,2020-01-26,deposit,636
303,2020-01-18,deposit,433
478,2020-01-08,deposit,351
2,2020-01-03,deposit,549
280,2020-01-03,deposit,1273
277,2020-01-27,deposit,615
434,2020-01-14,deposit,686
389,2020-01-04,deposit,632
256,2020-01-26,deposit,811
216,2020-01-04,deposit,140
159,2020-01-04,deposit,669
310,2020-01-20,deposit,331
495,2020-01-17,deposit,433
483,2020-01-18,deposit,481
318,2020-01-06,deposit,6720
314,2020-01-26,deposit,448
285,2020-01-22,deposit,360
453,2020-01-25,deposit,638
424,2020-01-12,deposit,995
210,2020-01-19,deposit,708
105,2020-01-07,deposit,313
177,2020-01-20,deposit,351
313,2020-01-29,deposit,710
65,2020-01-26,deposit,690
124,2020-01-01,deposit,159
426,2020-01-15,deposit,282
413,2020-01-26,deposit,927
386,2020-01-26,deposit,854
464,2020-01-17,deposit,953
33,2020-01-24,deposit,473
113,2020-01-21,deposit,14
94,2020-01-01,deposit,6902
197,2020-01-22,deposit,203
164,2020-01-10,deposit,548
300,2020-01-21,deposit,672
467,2020-01-19,deposit,738
7,2020-01-20,deposit,964
231,2020-01-20,deposit,122
497,2020-01-30,deposit,754
211,2020-01-19,deposit,485
47,2020-01-22,deposit,203
321,2020-01-24,deposit,243
83,2020-01-09,deposit,942
4,2020-01-07,deposit,458
469,2020-01-17,deposit,297
329,2020-01-07,deposit,723
76,2020-01-04,deposit,641
325,2020-01-27,deposit,60
35,2020-01-17,deposit,936
80,2020-01-25,deposit,795
290,2020-01-15,deposit,788
181,2020-01-13,deposit,865
333,2020-01-08,deposit,537
400,2020-01-24,deposit,691
149,2020-01-13,deposit,831
11,2020-01-19,deposit,60
243,2020-01-01,deposit,247
347,2020-01-04,deposit,626
86,2020-01-03,deposit,12
237,2020-01-16,deposit,106
229,2020-01-23,deposit,180
209,2020-01-23,deposit,160
404,2020-01-02,deposit,724
220,2020-01-21,deposit,307
114,2020-01-19,deposit,743
476,2020-01-27,deposit,392
273,2020-01-19,deposit,876
259,2020-01-04,deposit,744
140,2020-01-26,deposit,138
208,2020-01-19,deposit,537
355,2020-01-21,deposit,367
78,2020-01-28,deposit,986
232,2020-01-02,deposit,843
260,2020-01-26,deposit,899
246,2020-01-29,deposit,506
24,2020-01-26,deposit,615
15,2020-01-25,deposit,379
486,2020-01-11,deposit,6412
340,2020-01-06,deposit,56
44,2020-01-19,deposit,71
471,2020-01-13,deposit,781
459,2020-01-13,deposit,857
274,2020-01-02,deposit,801
103,2020-01-07,deposit,646
101,2020-01-12,deposit,136
335,2020-01-14,deposit,663
461,2020-01-01,deposit,788
34,2020-01-30,deposit,976
281,2020-01-06,deposit,616
391,2020-01-15,deposit,219
45,2020-01-14,deposit,650
49,2020-01-04,deposit,432
473,2020-01-17,deposit,657
448,2020-01-30,deposit,759
106,2020-01-24,deposit,456
57,2020-01-06,deposit,907
151,2020-01-10,deposit,58
239,2020-01-18,deposit,771
253,2020-01-29,deposit,976
163,2020-01-14,deposit,523
399,2020-01-13,deposit,780
358,2020-01-15,deposit,129
31,2020-01-06,deposit,83
423,2020-01-18,deposit,164
433,2020-01-15,deposit,142
170,2020-01-14,deposit,788
414,2020-01-08,deposit,445
322,2020-01-05,deposit,965
186,2020-01-17,deposit,968
421,2020-01-09,deposit,205
90,2020-01-19,deposit,890
379,2020-01-12,deposit,451
362,2020-01-28,deposit,416
395,2020-01-14,deposit,40
482,2020-01-01,deposit,674
463,2020-01-21,deposit,881
13,2020-01-02,deposit,566
42,2020-01-11,deposit,154
204,2020-01-28,deposit,749
190,2020-01-26,deposit,14
228,2020-01-10,deposit,294
241,2020-01-01,deposit,161
28,2020-01-20,deposit,451
336,2020-01-16,deposit,543
12,2020-01-13,deposit,202
125,2020-01-04,deposit,637
360,2020-01-16,deposit,385
370,2020-01-13,deposit,363
88,2020-01-12,deposit,672
446,2020-01-15,deposit,412
18,2020-01-17,deposit,1757
139,2020-01-10,deposit,653
127,2020-01-17,deposit,217
450,2020-01-11,deposit,890
196,2020-01-13,deposit,734
54,2020-01-09,deposit,138
456,2020-01-07,deposit,753
174,2020-01-11,deposit,163
51,2020-01-20,deposit,367
479,2020-01-23,deposit,320
437,2020-01-05,deposit,935
175,2020-01-14,deposit,300
200,2020-01-29,deposit,997
201,2020-01-02,deposit,646
29,2020-01-19,deposit,217
132,2020-01-10,deposit,14
213,2020-01-17,deposit,421
79,2020-01-29,deposit,521
306,2020-01-27,deposit,402
8,2020-01-15,deposit,207
294,2020-01-12,deposit,307
485,2020-01-03,deposit,524
427,2020-01-22,deposit,588
222,2020-01-11,deposit,311
377,2020-01-18,deposit,6637
97,2020-01-04,deposit,681
283,2020-01-05,deposit,947
440,2020-01-03,deposit,45
449,2020-01-06,deposit,352
251,2020-01-09,deposit,961
435,2020-01-01,deposit,627
84,2020-01-23,deposit,968
498,2020-01-19,deposit,774
38,2020-01-21,deposit,367
107,2020-01-13,deposit,538
183,2020-01-22,deposit,6101
397,2020-01-06,deposit,973
102,2020-01-26,deposit,917
182,2020-01-08,deposit,97
141,2020-01-15,deposit,934
494,2020-01-20,deposit,529
252,2020-01-26,deposit,982
297,2020-01-25,deposit,469
431,2020-01-11,deposit,101
324,2020-01-04,deposit,538
6,2020-01-11,deposit,831
262,2020-01-04,deposit,83
341,2020-01-26,deposit,1345
121,2020-01-01,deposit,335
27,2020-01-01,deposit,809
248,2020-01-24,deposit,304
489,2020-01-15,deposit,556
445,2020-01-25,deposit,836
145,2020-01-02,deposit,365
43,2020-01-28,deposit,318
82,2020-01-09,deposit,363
315,2020-01-22,deposit,384
444,2020-01-10,deposit,669
48,2020-01-01,deposit,427
425,2020-01-09,deposit,308
422,2020-01-25,deposit,356
493,2020-01-15,deposit,6845
457,2020-01-23,deposit,657
179,2020-01-05,deposit,19
41,2020-01-30,deposit,790
39,2020-01-22,deposit,996
235,2020-01-07,deposit,723
203,2020-01-06,deposit,970
119,2020-01-17,deposit,1062
233,2020-01-03,deposit,187
451,2020-01-30,deposit,910
392,2020-01-29,deposit,876
491,2020-01-08,deposit,18
393,2020-01-17,deposit,118
115,2020-01-29,deposit,144
150,2020-01-04,deposit,1069
275,2020-01-28,deposit,211
438,2020-01-01,deposit,261
153,2020-01-18,deposit,754
316,2020-01-23,deposit,184
349,2020-01-17,deposit,573
77,2020-01-08,deposit,120
474,2020-01-02,deposit,6928
224,2020-01-21,deposit,487
214,2020-01-14,deposit,325
254,2020-01-05,deposit,856
189,2020-01-11,deposit,304
429,2020-03-02,deposit,256
429,2020-03-02,withdrawal,611
429,2020-02-14,deposit,128
429,2020-02-19,deposit,831
429,2020-02-25,deposit,312
429,2020-03-02,deposit,164
429,2020-04-04,withdrawal,855
155,2020-04-04,deposit,501
155,2020-01-29,deposit,631
155,2020-03-19,deposit,630
155,2020-03-28,deposit,494
155,2020-03-16,withdrawal,627
155,2020-02-20,deposit,751
155,2020-02-15,withdrawal,804
155,2020-03-29,deposit,890
155,2020-03-19,deposit,117
155,2020-03-31,withdrawal,100
155,2020-03-30,withdrawal,595
155,2020-01-24,deposit,717
155,2020-03-07,withdrawal,751
155,2020-02-29,deposit,899
155,2020-01-19,deposit,360
155,2020-03-29,withdrawal,494
155,2020-04-05,withdrawal,652
155,2020-02-04,deposit,295
155,2020-02-15,deposit,804
398,2020-01-31,deposit,823
398,2020-03-24,deposit,635
398,2020-01-10,deposit,951
398,2020-01-16,withdrawal,195
398,2020-02-16,withdrawal,232
398,2020-03-24,deposit,874
398,2020-01-14,withdrawal,255
398,2020-02-27,deposit,874
398,2020-03-21,deposit,201
398,2020-03-14,withdrawal,817
398,2020-03-10,withdrawal,678
398,2020-02-14,deposit,902
398,2020-02-13,deposit,546
398,2020-03-22,deposit,916
398,2020-01-23,deposit,523
398,2020-02-20,deposit,150
398,2020-01-27,deposit,570
398,2020-02-02,deposit,38
398,2020-03-09,deposit,873
255,2020-02-27,deposit,355
255,2020-02-16,deposit,479
255,2020-01-31,deposit,310
255,2020-03-28,deposit,782
255,2020-03-10,deposit,105
185,2020-03-27,withdrawal,642
185,2020-02-14,withdrawal,640
185,2020-02-27,deposit,447
185,2020-03-08,deposit,401
185,2020-04-08,withdrawal,224
185,2020-04-22,deposit,884
185,2020-03-30,deposit,738
185,2020-04-12,deposit,466
185,2020-04-12,deposit,825
185,2020-03-21,deposit,791
185,2020-04-15,withdrawal,917
185,2020-04-07,deposit,366
185,2020-04-08,deposit,521
185,2020-02-04,deposit,193
185,2020-04-24,deposit,848
185,2020-02-01,deposit,786
185,2020-02-10,withdrawal,143
185,2020-04-20,deposit,499
309,2020-04-09,deposit,740
309,2020-04-09,deposit,301
309,2020-02-09,deposit,822
309,2020-02-02,deposit,898
309,2020-02-08,deposit,341
309,2020-01-13,deposit,532
309,2020-02-17,deposit,812
309,2020-01-27,withdrawal,308
309,2020-04-05,withdrawal,37
309,2020-03-20,deposit,663
309,2020-02-15,deposit,69
309,2020-04-04,deposit,151
309,2020-03-25,deposit,649
309,2020-02-19,deposit,96
309,2020-01-25,deposit,518
309,2020-03-18,deposit,577
309,2020-02-22,withdrawal,839
312,2020-03-15,withdrawal,994
312,2020-03-28,deposit,67
312,2020-02-25,deposit,470
312,2020-02-05,deposit,942
312,2020-04-01,withdrawal,602
312,2020-04-15,withdrawal,651
312,2020-02-26,deposit,643
312,2020-03-13,deposit,794
376,2020-03-31,deposit,980
376,2020-03-06,deposit,595
376,2020-02-27,deposit,25
376,2020-03-06,withdrawal,381
376,2020-03-27,deposit,815
376,2020-01-21,deposit,518
376,2020-01-03,withdrawal,77
376,2020-02-12,deposit,950
376,2020-01-13,deposit,628
376,2020-02-21,deposit,892
376,2020-01-09,deposit,554
376,2020-01-20,deposit,7
376,2020-03-12,withdrawal,374
376,2020-02-21,deposit,44
376,2020-03-18,deposit,427
376,2020-02-06,withdrawal,996
376,2020-02-29,withdrawal,916
376,2020-01-31,deposit,400
376,2020-03-12,withdrawal,325
376,2020-02-11,deposit,902
188,2020-02-24,deposit,699
188,2020-04-07,deposit,54
188,2020-01-31,withdrawal,72
188,2020-02-15,deposit,459
188,2020-03-30,deposit,491
188,2020-03-10,deposit,587
188,2020-01-29,deposit,259
188,2020-03-29,withdrawal,314
188,2020-02-20,withdrawal,770
188,2020-02-11,deposit,809
188,2020-03-06,withdrawal,743
188,2020-01-22,withdrawal,340
188,2020-01-27,withdrawal,632
188,2020-04-02,deposit,473
138,2020-02-01,deposit,819
138,2020-01-23,deposit,758
138,2020-03-20,withdrawal,129
138,2020-03-22,deposit,750
138,2020-02-05,deposit,485
138,2020-02-13,deposit,42
138,2020-02-24,withdrawal,958
138,2020-04-06,deposit,850
138,2020-02-07,deposit,604
138,2020-03-24,deposit,619
138,2020-03-29,deposit,15
138,2020-02-29,deposit,64
138,2020-01-31,deposit,38
138,2020-02-03,withdrawal,954
373,2020-01-21,deposit,103
373,2020-04-08,deposit,755
373,2020-04-12,deposit,875
373,2020-03-26,deposit,780
373,2020-04-03,deposit,514
373,2020-02-15,deposit,216
361,2020-02-21,deposit,323
361,2020-02-12,deposit,109
361,2020-01-12,withdrawal,457
169,2020-03-15,withdrawal,3
169,2020-01-25,deposit,985
169,2020-01-29,deposit,657
169,2020-03-09,deposit,737
169,2020-02-28,withdrawal,439
169,2020-01-14,withdrawal,601
169,2020-03-16,deposit,529
169,2020-04-08,deposit,897
169,2020-02-06,deposit,176
169,2020-03-22,deposit,64
169,2020-02-19,withdrawal,417
169,2020-02-26,deposit,59
169,2020-01-19,deposit,268
402,2020-03-17,deposit,803
402,2020-02-10,deposit,166
402,2020-02-18,deposit,45
402,2020-01-13,withdrawal,127
402,2020-01-19,deposit,805
402,2020-01-31,deposit,365
60,2020-03-02,deposit,188
60,2020-02-01,deposit,857
60,2020-03-31,withdrawal,927
60,2020-01-26,deposit,113
60,2020-01-30,deposit,797
60,2020-03-16,withdrawal,674
60,2020-04-02,withdrawal,424
378,2020-03-21,deposit,353
378,2020-03-12,deposit,690
378,2020-02-11,deposit,936
378,2020-02-14,withdrawal,623
378,2020-01-26,deposit,186
378,2020-02-05,deposit,392
378,2020-01-30,deposit,108
378,2020-01-27,deposit,369
378,2020-02-26,deposit,145
378,2020-03-04,withdrawal,497
378,2020-02-26,deposit,428
378,2020-02-27,deposit,662
383,2020-03-28,withdrawal,725
383,2020-04-03,deposit,239
383,2020-04-24,withdrawal,141
383,2020-04-23,withdrawal,419
383,2020-01-29,withdrawal,925
383,2020-04-16,deposit,944
383,2020-04-19,deposit,907
383,2020-02-25,deposit,365
383,2020-03-01,deposit,827
383,2020-02-01,deposit,606
292,2020-03-14,deposit,6503
292,2020-01-28,withdrawal,1218
292,2020-01-15,withdrawal,1909
292,2020-03-23,withdrawal,1690
292,2020-01-26,deposit,6760
292,2020-02-23,deposit,6046
292,2020-02-13,withdrawal,1999
292,2020-02-27,withdrawal,1143
292,2020-01-19,deposit,6044
292,2020-03-02,withdrawal,1270
292,2020-01-13,withdrawal,1289
292,2020-03-07,deposit,6343
292,2020-01-30,deposit,6401
292,2020-01-19,withdrawal,1973
63,2020-03-06,withdrawal,151
63,2020-02-23,withdrawal,396
63,2020-03-12,deposit,618
63,2020-03-31,deposit,565
63,2020-02-11,deposit,363
63,2020-01-25,deposit,225
63,2020-02-24,withdrawal,156
63,2020-01-16,deposit,88
63,2020-03-10,withdrawal,932
63,2020-02-08,deposit,432
63,2020-01-10,deposit,253
63,2020-03-23,withdrawal,727
499,2020-02-20,deposit,891
499,2020-03-04,deposit,367
499,2020-02-17,withdrawal,228
499,2020-02-11,deposit,416
499,2020-01-20,withdrawal,699
499,2020-01-04,deposit,849
499,2020-01-15,deposit,71
499,2020-01-18,deposit,150
499,2020-01-31,deposit,254
499,2020-03-17,withdrawal,297
499,2020-01-12,withdrawal,934
499,2020-03-15,deposit,627
499,2020-03-12,deposit,754
499,2020-03-01,deposit,279
499,2020-02-20,deposit,547
499,2020-02-10,deposit,925
130,2020-03-27,deposit,864
130,2020-01-19,deposit,196
130,2020-02-15,deposit,353
130,2020-03-13,deposit,753
130,2020-02-05,withdrawal,488
130,2020-03-01,deposit,971
130,2020-01-07,withdrawal,106
130,2020-03-04,deposit,646
130,2020-01-11,withdrawal,895
130,2020-02-05,withdrawal,71
441,2020-02-17,withdrawal,195
441,2020-04-02,deposit,8
441,2020-04-10,deposit,206
441,2020-02-24,deposit,190
441,2020-03-20,deposit,917
441,2020-03-06,withdrawal,229
441,2020-01-18,withdrawal,540
441,2020-03-24,deposit,856
441,2020-01-13,withdrawal,207
441,2020-04-04,deposit,392
441,2020-02-06,deposit,363
441,2020-04-04,deposit,520
441,2020-03-25,withdrawal,535
441,2020-03-24,deposit,8
441,2020-03-16,deposit,634
441,2020-02-03,deposit,177
441,2020-04-08,withdrawal,24
441,2020-03-18,deposit,37
441,2020-04-09,deposit,237
441,2020-02-05,deposit,919
53,2020-04-20,deposit,187
53,2020-03-23,withdrawal,881
53,2020-04-20,deposit,933
53,2020-03-24,deposit,228
53,2020-03-21,deposit,285
53,2020-02-04,deposit,188
53,2020-04-22,deposit,209
30,2020-04-01,deposit,392
30,2020-02-28,withdrawal,464
30,2020-04-24,deposit,547
305,2020-02-16,deposit,348
305,2020-03-07,deposit,773
305,2020-01-17,withdrawal,380
305,2020-03-22,withdrawal,613
305,2020-01-11,withdrawal,2
305,2020-01-16,deposit,366
305,2020-03-07,withdrawal,405
305,2020-02-04,deposit,517
136,2020-03-26,deposit,103
136,2020-02-27,deposit,487
136,2020-03-11,deposit,53
136,2020-01-25,withdrawal,653
136,2020-04-09,deposit,710
136,2020-03-06,withdrawal,116
136,2020-01-12,deposit,19
136,2020-01-29,withdrawal,224
136,2020-03-24,withdrawal,623
136,2020-01-28,deposit,455
136,2020-04-02,deposit,194
276,2020-01-17,deposit,600
276,2020-03-08,deposit,624
276,2020-01-13,deposit,922
276,2020-02-21,deposit,319
276,2020-03-30,deposit,976
276,2020-01-09,withdrawal,360
276,2020-02-04,deposit,559
276,2020-01-13,deposit,465
276,2020-02-25,withdrawal,601
276,2020-03-01,deposit,189
276,2020-01-28,deposit,578
276,2020-02-08,withdrawal,222
276,2020-03-01,deposit,985
276,2020-01-10,deposit,52
410,2020-03-14,withdrawal,666
410,2020-03-28,deposit,222
410,2020-01-21,deposit,595
410,2020-01-08,deposit,171
410,2020-03-16,deposit,135
410,2020-03-09,withdrawal,78
410,2020-02-10,withdrawal,723
410,2020-02-07,deposit,103
410,2020-03-04,deposit,136
152,2020-03-20,deposit,68
152,2020-02-04,deposit,706
152,2020-02-22,deposit,960
152,2020-01-17,deposit,264
152,2020-01-16,deposit,340
152,2020-02-04,deposit,696
152,2020-02-09,withdrawal,849
152,2020-03-28,deposit,14
152,2020-02-15,deposit,812
152,2020-01-23,deposit,310
152,2020-02-13,deposit,334
123,2020-01-25,withdrawal,310
123,2020-01-26,deposit,830
123,2020-03-29,deposit,727
123,2020-04-03,deposit,540
123,2020-04-04,withdrawal,362
123,2020-04-07,deposit,463
123,2020-02-19,withdrawal,960
123,2020-03-07,deposit,386
123,2020-03-28,deposit,352
123,2020-04-05,deposit,688
123,2020-04-06,deposit,947
123,2020-02-09,deposit,600
17,2020-02-09,withdrawal,1915
17,2020-02-28,deposit,1442
472,2020-03-05,deposit,78
472,2020-04-06,deposit,903
472,2020-02-11,deposit,666
472,2020-04-07,deposit,557
472,2020-02-01,deposit,347
472,2020-04-01,deposit,865
472,2020-03-21,withdrawal,513
472,2020-04-01,deposit,12
472,2020-04-04,deposit,405
472,2020-01-19,withdrawal,527
472,2020-04-16,deposit,449
472,2020-01-29,deposit,843
472,2020-03-20,deposit,182
472,2020-04-07,deposit,115
472,2020-03-30,deposit,537
472,2020-02-27,deposit,87
472,2020-04-14,deposit,920
472,2020-03-08,deposit,362
472,2020-03-06,withdrawal,499
472,2020-04-08,deposit,418
100,2020-03-28,deposit,938
100,2020-03-30,deposit,181
100,2020-03-01,deposit,780
100,2020-02-05,deposit,749
100,2020-03-19,deposit,854
100,2020-03-03,withdrawal,123
100,2020-02-08,deposit,829
100,2020-01-14,deposit,923
56,2020-04-04,withdrawal,302
56,2020-04-12,withdrawal,407
56,2020-03-02,withdrawal,523
56,2020-03-30,deposit,495
56,2020-02-12,deposit,213
56,2020-02-01,deposit,122
56,2020-03-20,deposit,218
56,2020-04-02,deposit,117
56,2020-03-07,deposit,224
56,2020-02-17,withdrawal,716
56,2020-02-05,deposit,735
56,2020-04-08,withdrawal,326
56,2020-04-07,deposit,873
56,2020-01-29,deposit,519
56,2020-03-03,deposit,744
56,2020-02-14,deposit,37
56,2020-01-23,withdrawal,412
56,2020-03-13,deposit,99
455,2020-03-09,withdrawal,1887
455,2020-03-25,deposit,1327
357,2020-03-28,withdrawal,1382
357,2020-02-05,withdrawal,1136
357,2020-04-16,withdrawal,1684
357,2020-02-27,deposit,6096
357,2020-02-19,deposit,6138
480,2020-04-21,withdrawal,5
480,2020-04-14,deposit,478
480,2020-03-22,deposit,757
480,2020-04-11,deposit,553
168,2020-02-24,deposit,919
168,2020-02-25,deposit,183
168,2020-02-03,deposit,187
369,2020-03-16,deposit,516
369,2020-03-12,deposit,971
369,2020-01-28,withdrawal,110
